epic:0,drama_or_verse_miscellaneous:1
tesserae/texts/grc/nonnus_of_panopolis.dionysiaca/nonnus_of_panopolis.dionysiaca.part.3.books_21-30.tess,0
tesserae/texts/grc/nonnus_of_panopolis.dionysiaca/nonnus_of_panopolis.dionysiaca.part.4.books_31-40.tess,0
tesserae/texts/grc/nonnus_of_panopolis.dionysiaca/nonnus_of_panopolis.dionysiaca.part.5.books_41-48.tess,0
tesserae/texts/grc/oppian.halieutica.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.1.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.2.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.3.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.4.tess,0
tesserae/texts/grc/oppian.halieutica/oppian.halieutica.part.5.tess,0
tesserae/texts/grc/oppian_of apamea.cynegetica/oppian_of_apamea.cynegetica.part.1.tess,0
tesserae/texts/grc/oppian_of apamea.cynegetica/oppian_of_apamea.cynegetica.part.2.tess,0
tesserae/texts/grc/oppian_of apamea.cynegetica/oppian_of_apamea.cynegetica.part.3.tess,0
tesserae/texts/grc/oppian_of apamea.cynegetica/oppian_of_apamea.cynegetica.part.4.tess,0
tesserae/texts/grc/oppian_of_apamea.cynegetica.tess,0
tesserae/texts/grc/pindar.odes.tess,1
tesserae/texts/grc/pindar.odes/pindar.odes.part.1.isthmeans.tess,1
tesserae/texts/grc/pindar.odes/pindar.odes.part.2.nemeans.tess,1
tesserae/texts/grc/pindar.odes/pindar.odes.part.3.olympians.tess,1
tesserae/texts/grc/pindar.odes/pindar.odes.part.4.pythians.tess,1
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.1.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.10.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.11.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.12.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.13.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.14.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.2.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.3.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.4.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.5.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.6.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.7.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.8.tess,0
tesserae/texts/grc/quintus_smyrnaeus.fall_of_troy/quintus_smyrnaeus.fall_of_troy.part.9.tess,0
tesserae/texts/grc/sophocles.ajax.tess,1
tesserae/texts/grc/sophocles.antigone.tess,1
tesserae/texts/grc/sophocles.electra.tess,1
tesserae/texts/grc/sophocles.ichneutae.tess,1
tesserae/texts/grc/sophocles.oedipus_at_colonus.tess,1
tesserae/texts/grc/sophocles.oedipus_tyrannus.tess,1
tesserae/texts/grc/sophocles.philoctetes.tess,1
tesserae/texts/grc/sophocles.trachiniae.tess,1
tesserae/texts/grc/theocritus.epigrams.tess,1
tesserae/texts/grc/tryphiodorus.the_taking_of_ilios.tess,0
